DATE,ADDRESS,CITY,STATE,POSTAL CODE,AGENT,BROKER,PRICE,LATITUDE,LONGITUDE,TIME
03/08/2024,461 KINGSWOOD ROAD,TORONTO,ONTARIO,M4E3P4,BRENT CRAWFORD,RE/MAX HALLMARK ESTATE GROUP REALTY LTD.,"$1,149,900",43.6855397,79.2879587,1 day
05/08/2024,4610 - 87 PETER STREET,TORONTO,ONTARIO,M5V0P1,MAGGIE WANG,BAY STREET INTEGRITY REALTY INC.,"$749,000",43.6468374,79.3923754,179 days
01/08/2024,4611 - 87 PETER STREET,TORONTO,ONTARIO,M5V2G4,JENNY WU,HC REALTY GROUP INC.,"$650,000",43.6469038,79.3924393,
30/07/2024,462 RATHBURN ROAD,TORONTO,ONTARIO,M9C3S8,JANETTE MARCIA SASSO,KELLER WILLIAMS REAL ESTATE ASSOCIATES,"$1,489,000",43.652904,79.574489,47 days
30/07/2024,462&464 SAMMON AVENUE,TORONTO,ONTARIO,M4J2B2,DYLAN PROVENCHER,KELLER WILLIAMS ADVANTAGE REALTY,"$1,349,000",43.6880392,79.3298903,12 days
05/08/2024,464-468 WINONA DRIVE,TORONTO,ONTARIO,M6C3T7,RON SHEININ,SMART SOLD REALTY,"$6,999,999",43.6895185,79.4357878,124 days
01/08/2024,4609 - 38 WIDMER STREET,TORONTO,ONTARIO,M5V0P7,JENNY DONG,PROMPTON REAL ESTATE SERVICES CORP.,"$625,900",43.6479866,79.3918411,
03/08/2024,4802 - 38 WIDMER STREET,TORONTO,ONTARIO,M5V0P7,TYSON W. CAFE-RUOFF,RIGHT AT HOME REALTY,"$1,020,000",43.6480779,79.3917378,2 days
05/08/2024,4802 - 99 JOHN STREET,TORONTO,ONTARIO,M5V0S6,JOHN RICHARD FORTNEY,HARVEY KALLES REAL ESTATE LTD.,"$6,000,000",43.6475245,79.3899312,145 days
31/07/2024,4808 - 15 GRENVILLE STREET,TORONTO,ONTARIO,M4Y1A1,IAN ZHANG,FIRST CLASS REALTY INC.,"$999,000",43.6618614,79.3841461,2 days
31/07/2024,5 HAYES LANE,TORONTO,ONTARIO,M2N0E7,JENNY JIAN,MAPLE LIFE REALTY INC.,"$1,190,000",43.783032,79.3990889,1 day
