DATE,ADDRESS,CITY,STATE,POSTAL CODE,AGENT,BROKER,PRICE,LATITUDE,LONGITUDE
06/07/2024,1710 - 75 EAST LIBERTY STREET,TORONTO,ONTARIO,M6K3R3,LINDSAY STOREY,ROYAL LEPAGE YOUR COMMUNITY REALTY,"$619,900",43.6379772,79.4147965
06/07/2024,128 ROYWOOD DRIVE,TORONTO,ONTARIO,M3A2E1,MEGHAN PARKS,BERKSHIRE HATHAWAY HOMESERVICES TORONTO REALTY,"$899,000",43.7657967,79.3286663
06/07/2024,1204 - 197 YONGE STREET,TORONTO,ONTARIO,M5B1M4,TATYANA POYLOVA,RIGHT AT HOME REALTY,"$565,000",43.6534359,79.3791875
06/07/2024,414 - 15 LOWER JARVIS STREET,TORONTO,ONTARIO,M5E0C4,WAAD TAHA,SUTTON GROUP QUANTUM REALTY INC.,"$550,000",43.6451805,79.3692779
06/07/2024,102 - 5765 YONGE STREET,TORONTO,ONTARIO,M2M4H9,HITESH JAGS JAGATIA,PROPERTY.CA INC.,"$548,888",43.7831358,79.415217
06/07/2024,510 - 260 MERTON STREET,TORONTO,ONTARIO,M4S3G2,JESSE STUART TAYLOR,UNRESERVED,"$749,000",43.6979716,79.3880181
06/07/2024,53 REGENT STREET,TORONTO,ONTARIO,M5A0P1,KEVIN YU,ROYAL LEPAGE TERREQUITY KEVIN YU REALTY,"$1,050,000",43.6588815,79.3639134
06/07/2024,1602 - 11 CHARLOTTE STREET,TORONTO,ONTARIO,M5V0M6,YU YU,HOMELIFE LANDMARK REALTY INC.,"$988,000",43.6464437,79.3935842
06/07/2024,819 - 98 LILLIAN STREET,TORONTO,ONTARIO,M4S0A5,JASON HONG,KELLER WILLIAMS LEGACIES REALTY,"$599,000",43.7071766,79.394162
06/07/2024,97 RANEE AVENUE,TORONTO,ONTARIO,M6A1N1,JETHRO SEYMOUR,ROYAL LEPAGE TERREQUITY SEYMOUR REAL ESTATE,"$2,999,000",43.7254263,79.4376349
06/07/2024,LPH01 - 410 QUEENS QUAY W,TORONTO,ONTARIO,M5V3T1,ROBIN TULLY,ROYAL LEPAGE/J & D DIVISION,"$635,000",43.6382071,79.3915142
06/07/2024,235 DAWLISH AVENUE,TORONTO,ONTARIO,M4N1J2,PETER EDWIN BAKER,CHESTNUT PARK REAL ESTATE LIMITED,"$4,195,000",43.7228056,79.3871532
06/07/2024,101 - 12 REAN DRIVE,TORONTO,ONTARIO,M2K3C6,NICK PASCHOS,EXP REALTY,"$589,900",43.7666713,79.3832156
06/07/2024,125 MACPHERSON AVENUE,TORONTO,ONTARIO,M5R1W9,CAILEY HEAPS,ROYAL LEPAGE REAL ESTATE SERVICES HEAPS ESTRIN TEAM,"$2,995,000",43.6779038,79.3951723
06/07/2024,625 - 115 BLUE JAYS WAY,TORONTO,ONTARIO,M5V0N4,JINHYUN KIM,RE/MAX REALTRON YC REALTY,"$519,000",43.6457205,79.3918198
06/07/2024,12 - 20 WOODSTREAM DRIVE,TORONTO,ONTARIO,M9W0G1,WILLIAM TRAN,HOMELIFE SUPERSTARS REAL ESTATE LIMITED,"$699,000",43.7212665,79.6118824
06/07/2024,30 COE HILL DRIVE,TORONTO,ONTARIO,M6S3C8,BRUNO RICARDO SOARES,RE/MAX HALLMARK REALTY LTD.,"$1,399,900",43.6386497,79.4692543
