DATE,ADDRESS,CITY,STATE,POSTAL CODE,AGENT,BROKER,PRICE,LATITUDE,LONGITUDE
29/06/2024,1 FORTHBRIDGE CRESCENT,TORONTO,ONTARIO,M3M1Z9,KARIN ROTEM,RE/MAX REALTRON REALTY INC.,"$1,200,000",43.72977,79.49977
6/24/2024,1 MARKET STREET UNIT# 1413,TORONTO,ONTARIO,M5E0A2,OLIVIA TORUN,REMAX REALTY ENTERPRISES INC,"$1,088,000",43.64680994,79.37090014
25/06/2024,1 MAYNARD AVENUE S,TORONTO,ONTARIO,M6K2Z7,JAMES HUGH BRIGHT,ROYAL LEPAGE SIGNATURE REALTY,"$2,650,000",43.6371484,79.4370455
6/29/2024,1 PARKCREST DRIVE,TORONTO,ONTARIO,M1M2Y9,TOM JOSEPH,CENTURY 21 PERCY FULTON LTD.,"$1,899,999",43.7331379,79.2157497
29/06/2024,1 ROYALEIGH AVENUE,TORONTO,ONTARIO,M9P2J4,JEFF MACKO,RE/MAX PROFESSIONALS INC.,"$975,500",43.6989918,79.5307808
27/06/2024,1 WEST AVENUE,TORONTO,ONTARIO,M4M2L7,JENNY SIMON,SAGE REAL ESTATE LIMITED,"$1,749,000",43.6641484,79.3459015
03/07/2024,1 YORKVILLE AVENUE,TORONTO,ONTARIO,M4W1L1,OSCAR WONG,HOMELIFE LANDMARK REALTY INC.,"$15,000",43.6716254,79.3877935
27/06/2024,10 - 169 JONES AVENUE,TORONTO,ONTARIO,M4M3A2,ARI ZADEGAN,RE/MAX HALLMARK ARI ZADEGAN GROUP REALTY,"$1,099,900",43.6671259,79.3343524
03/07/2024,10 - 32 SENTINEL ROAD,TORONTO,ONTARIO,M3M2Y8,HAMID BARZEGAR KHASELOUI,CENTURY 21 LEADING EDGE REALTY INC.,"$599,000",43.7450269,79.4926835
27/06/2024,10 CANHAM CRESCENT,TORONTO,ONTARIO,M1S2H6,JOYCE WONG,RIGHT AT HOME REALTY,"$1,368,000",43.792507,79.2751479
